epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,665.881,1.1732,0.76193,1.3151,0.63231,0.60301,0.59927,0.41412,1.40698,1.20954,1.43984,0.000162075,0.000162075,0.000162075
168,669.834,1.1629,0.77679,1.34257,0.75059,0.58596,0.60431,0.40139,1.46094,1.21363,1.48992,0.000157575,0.000157575,0.000157575
169,673.684,1.11839,0.73718,1.29641,0.70723,0.56849,0.58304,0.39364,1.47878,1.26832,1.49713,0.000153076,0.000153076,0.000153076
170,677.66,1.16651,0.75575,1.32671,0.78295,0.52787,0.57757,0.39313,1.45752,1.28641,1.49633,0.000148576,0.000148576,0.000148576
171,681.623,1.13061,0.75831,1.32164,0.53515,0.67596,0.59921,0.38728,1.45976,1.27135,1.46337,0.000144077,0.000144077,0.000144077
172,685.759,1.16073,0.77132,1.3198,0.78168,0.54182,0.62263,0.40871,1.52635,1.2694,1.51944,0.000139577,0.000139577,0.000139577
173,689.666,1.15687,0.77143,1.31715,0.64372,0.6109,0.62489,0.4118,1.52881,1.21479,1.51104,0.000135077,0.000135077,0.000135077
174,693.697,1.14878,0.75311,1.30567,0.76654,0.5631,0.61889,0.41837,1.50492,1.18711,1.48695,0.000130578,0.000130578,0.000130578
175,697.619,1.14471,0.79541,1.33726,0.77979,0.55941,0.615,0.41466,1.52551,1.20272,1.48038,0.000126078,0.000126078,0.000126078
176,701.569,1.12961,0.75506,1.29788,0.75061,0.55479,0.61307,0.42234,1.53149,1.18649,1.49321,0.000121579,0.000121579,0.000121579
177,705.391,1.12827,0.7634,1.30419,0.76149,0.56281,0.61541,0.42168,1.52639,1.17423,1.48283,0.000117079,0.000117079,0.000117079
178,709.274,1.15162,0.77008,1.31272,0.6641,0.60236,0.60955,0.41282,1.53405,1.17522,1.47396,0.00011258,0.00011258,0.00011258
